split,out_stem,source_image,condition,n_objects
train,0000070_06990_d_0000007__rain_light,0000070_06990_d_0000007.jpg,rain_light,159
train,0000071_00007_d_0000001,0000071_00007_d_0000001.jpg,clean,75
train,0000071_00007_d_0000001__blur_light,0000071_00007_d_0000001.jpg,blur_light,75
train,0000071_02729_d_0000002,0000071_02729_d_0000002.jpg,clean,91
train,0000071_02729_d_0000002__bright_up,0000071_02729_d_0000002.jpg,bright_up,91
train,0000071_03136_d_0000003,0000071_03136_d_0000003.jpg,clean,78
train,0000071_03136_d_0000003__bright_down,0000071_03136_d_0000003.jpg,bright_down,78
train,0000071_03281_d_0000004,0000071_03281_d_0000004.jpg,clean,49
train,0000071_03281_d_0000004__blur_light,0000071_03281_d_0000004.jpg,blur_light,49
train,0000071_03470_d_0000005,0000071_03470_d_0000005.jpg,clean,39
train,0000071_03470_d_0000005__bright_up,0000071_03470_d_0000005.jpg,bright_up,39
train,0000071_03522_d_0000006,0000071_03522_d_0000006.jpg,clean,32
train,0000071_03522_d_0000006__bright_up,0000071_03522_d_0000006.jpg,bright_up,32
train,0000071_04085_d_0000007,0000071_04085_d_0000007.jpg,clean,138
train,0000071_04085_d_0000007__rain_heavy,0000071_04085_d_0000007.jpg,rain_heavy,138
train,0000071_05298_d_0000008,0000071_05298_d_0000008.jpg,clean,132
train,0000071_05298_d_0000008__rain_heavy,0000071_05298_d_0000008.jpg,rain_heavy,132
train,0000071_06447_d_0000009,0000071_06447_d_0000009.jpg,clean,136
train,0000071_06447_d_0000009__bright_down,0000071_06447_d_0000009.jpg,bright_down,136
train,0000071_06896_d_0000010,0000071_06896_d_0000010.jpg,clean,28
train,0000071_06896_d_0000010__rain_heavy,0000071_06896_d_0000010.jpg,rain_heavy,28
train,0000071_06967_d_0000011,0000071_06967_d_0000011.jpg,clean,33
train,0000071_06967_d_0000011__blur_light,0000071_06967_d_0000011.jpg,blur_light,33
train,0000071_07349_d_0000012,0000071_07349_d_0000012.jpg,clean,64
train,0000071_07349_d_0000012__bright_down,0000071_07349_d_0000012.jpg,bright_down,64
train,0000071_07913_d_0000013,0000071_07913_d_0000013.jpg,clean,21
train,0000071_07913_d_0000013__bright_up,0000071_07913_d_0000013.jpg,bright_up,21
train,0000072_00000_d_0000001,0000072_00000_d_0000001.jpg,clean,85
train,0000072_00000_d_0000001__rain_light,0000072_00000_d_0000001.jpg,rain_light,85
train,0000072_00137_d_0000002,0000072_00137_d_0000002.jpg,clean,104
train,0000072_00137_d_0000002__rain_heavy,0000072_00137_d_0000002.jpg,rain_heavy,104
train,0000072_03425_d_0000004,0000072_03425_d_0000004.jpg,clean,123
train,0000072_03425_d_0000004__rain_medium,0000072_03425_d_0000004.jpg,rain_medium,123
train,0000072_04493_d_0000005,0000072_04493_d_0000005.jpg,clean,120
train,0000072_04493_d_0000005__rain_heavy,0000072_04493_d_0000005.jpg,rain_heavy,120
train,0000072_05285_d_0000006,0000072_05285_d_0000006.jpg,clean,69
train,0000072_05285_d_0000006__rain_medium,0000072_05285_d_0000006.jpg,rain_medium,69
train,0000072_05564_d_0000007,0000072_05564_d_0000007.jpg,clean,77
train,0000072_05564_d_0000007__rain_medium,0000072_05564_d_0000007.jpg,rain_medium,77
train,0000072_05654_d_0000008,0000072_05654_d_0000008.jpg,clean,54
train,0000072_05654_d_0000008__bright_down,0000072_05654_d_0000008.jpg,bright_down,54
train,0000072_05827_d_0000009,0000072_05827_d_0000009.jpg,clean,60
train,0000072_05827_d_0000009__bright_down,0000072_05827_d_0000009.jpg,bright_down,60
train,0000072_06173_d_0000010,0000072_06173_d_0000010.jpg,clean,98
train,0000072_06173_d_0000010__bright_down,0000072_06173_d_0000010.jpg,bright_down,98
train,0000072_07242_d_0000011,0000072_07242_d_0000011.jpg,clean,64
train,0000072_07242_d_0000011__rain_light,0000072_07242_d_0000011.jpg,rain_light,64
train,0000072_07660_d_0000012,0000072_07660_d_0000012.jpg,clean,46
train,0000072_07660_d_0000012__bright_down,0000072_07660_d_0000012.jpg,bright_down,46
train,0000072_08702_d_0000013,0000072_08702_d_0000013.jpg,clean,95
train,0000072_08702_d_0000013__rain_medium,0000072_08702_d_0000013.jpg,rain_medium,95
train,0000072_09163_d_0000014,0000072_09163_d_0000014.jpg,clean,32
train,0000072_09163_d_0000014__rain_medium,0000072_09163_d_0000014.jpg,rain_medium,32
train,0000076_00004_d_0000001,0000076_00004_d_0000001.jpg,clean,8
train,0000076_00004_d_0000001__rain_light,0000076_00004_d_0000001.jpg,rain_light,8
train,0000076_00352_d_0000002,0000076_00352_d_0000002.jpg,clean,8
train,0000076_00352_d_0000002__bright_up,0000076_00352_d_0000002.jpg,bright_up,8
train,0000076_00616_d_0000003,0000076_00616_d_0000003.jpg,clean,11
train,0000076_00616_d_0000003__rain_light,0000076_00616_d_0000003.jpg,rain_light,11
train,0000076_01012_d_0000004,0000076_01012_d_0000004.jpg,clean,25
train,0000076_01012_d_0000004__rain_medium,0000076_01012_d_0000004.jpg,rain_medium,25
train,0000076_01444_d_0000005,0000076_01444_d_0000005.jpg,clean,39
train,0000076_01444_d_0000005__rain_heavy,0000076_01444_d_0000005.jpg,rain_heavy,39
train,0000076_01601_d_0000006,0000076_01601_d_0000006.jpg,clean,39
train,0000076_01601_d_0000006__blur_light,0000076_01601_d_0000006.jpg,blur_light,39
train,0000076_01792_d_0000007,0000076_01792_d_0000007.jpg,clean,51
train,0000076_01792_d_0000007__blur_light,0000076_01792_d_0000007.jpg,blur_light,51
train,0000076_01975_d_0000008,0000076_01975_d_0000008.jpg,clean,23
train,0000076_01975_d_0000008__rain_medium,0000076_01975_d_0000008.jpg,rain_medium,23
train,0000076_02667_d_0000010,0000076_02667_d_0000010.jpg,clean,2
train,0000076_02667_d_0000010__rain_light,0000076_02667_d_0000010.jpg,rain_light,2
train,0000076_03315_d_0000011,0000076_03315_d_0000011.jpg,clean,114
train,0000076_03315_d_0000011__rain_light,0000076_03315_d_0000011.jpg,rain_light,114
train,0000076_03689_d_0000012,0000076_03689_d_0000012.jpg,clean,48
train,0000076_03689_d_0000012__bright_up,0000076_03689_d_0000012.jpg,bright_up,48
train,0000076_03930_d_0000013,0000076_03930_d_0000013.jpg,clean,64
train,0000076_03930_d_0000013__blur_light,0000076_03930_d_0000013.jpg,blur_light,64
train,0000076_04200_d_0000014,0000076_04200_d_0000014.jpg,clean,15
train,0000076_04200_d_0000014__blur_light,0000076_04200_d_0000014.jpg,blur_light,15
train,0000076_04382_d_0000015,0000076_04382_d_0000015.jpg,clean,29
train,0000076_04382_d_0000015__rain_medium,0000076_04382_d_0000015.jpg,rain_medium,29
train,0000076_04674_d_0000016,0000076_04674_d_0000016.jpg,clean,14
train,0000076_04674_d_0000016__rain_light,0000076_04674_d_0000016.jpg,rain_light,14
train,0000076_04925_d_0000017,0000076_04925_d_0000017.jpg,clean,6
train,0000076_04925_d_0000017__blur_light,0000076_04925_d_0000017.jpg,blur_light,6
train,0000076_04999_d_0000018,0000076_04999_d_0000018.jpg,clean,20
train,0000076_04999_d_0000018__rain_light,0000076_04999_d_0000018.jpg,rain_light,20
train,0000076_05079_d_0000019,0000076_05079_d_0000019.jpg,clean,47
train,0000076_05079_d_0000019__blur_light,0000076_05079_d_0000019.jpg,blur_light,47
train,0000079_00507_d_0000001,0000079_00507_d_0000001.jpg,clean,55
train,0000079_00507_d_0000001__bright_down,0000079_00507_d_0000001.jpg,bright_down,55
train,0000079_00761_d_0000002,0000079_00761_d_0000002.jpg,clean,43
train,0000079_00761_d_0000002__rain_light,0000079_00761_d_0000002.jpg,rain_light,43
train,0000079_01062_d_0000003,0000079_01062_d_0000003.jpg,clean,24
train,0000079_01062_d_0000003__bright_down,0000079_01062_d_0000003.jpg,bright_down,24
train,0000079_01316_d_0000004,0000079_01316_d_0000004.jpg,clean,13
train,0000079_01316_d_0000004__rain_medium,0000079_01316_d_0000004.jpg,rain_medium,13
train,0000079_01515_d_0000005,0000079_01515_d_0000005.jpg,clean,26
train,0000079_01515_d_0000005__bright_up,0000079_01515_d_0000005.jpg,bright_up,26
train,0000079_01673_d_0000006,0000079_01673_d_0000006.jpg,clean,7
train,0000079_01673_d_0000006__blur_light,0000079_01673_d_0000006.jpg,blur_light,7
train,0000079_01783_d_0000007,0000079_01783_d_0000007.jpg,clean,56
train,0000079_01783_d_0000007__bright_down,0000079_01783_d_0000007.jpg,bright_down,56
train,0000079_02443_d_0000008,0000079_02443_d_0000008.jpg,clean,10
train,0000079_02443_d_0000008__rain_light,0000079_02443_d_0000008.jpg,rain_light,10
train,0000080_00002_d_0000001,0000080_00002_d_0000001.jpg,clean,29
train,0000080_00002_d_0000001__rain_medium,0000080_00002_d_0000001.jpg,rain_medium,29
train,0000084_00000_d_0000001,0000084_00000_d_0000001.jpg,clean,85
train,0000084_00000_d_0000001__rain_light,0000084_00000_d_0000001.jpg,rain_light,85
train,0000084_00281_d_0000002,0000084_00281_d_0000002.jpg,clean,81
train,0000084_00281_d_0000002__bright_down,0000084_00281_d_0000002.jpg,bright_down,81
train,0000084_01436_d_0000004,0000084_01436_d_0000004.jpg,clean,51
train,0000084_01436_d_0000004__blur_light,0000084_01436_d_0000004.jpg,blur_light,51
train,0000084_01781_d_0000005,0000084_01781_d_0000005.jpg,clean,59
train,0000084_01781_d_0000005__bright_up,0000084_01781_d_0000005.jpg,bright_up,59
train,0000084_01959_d_0000006,0000084_01959_d_0000006.jpg,clean,76
train,0000084_01959_d_0000006__bright_down,0000084_01959_d_0000006.jpg,bright_down,76
train,0000084_02139_d_0000007,0000084_02139_d_0000007.jpg,clean,118
train,0000084_02139_d_0000007__bright_down,0000084_02139_d_0000007.jpg,bright_down,118
train,0000085_00001_d_0000008,0000085_00001_d_0000008.jpg,clean,79
train,0000085_00001_d_0000008__blur_light,0000085_00001_d_0000008.jpg,blur_light,79
train,0000085_00399_d_0000009,0000085_00399_d_0000009.jpg,clean,82
train,0000085_00399_d_0000009__rain_medium,0000085_00399_d_0000009.jpg,rain_medium,82
train,0000098_00016_d_0000001,0000098_00016_d_0000001.jpg,clean,2
train,0000098_00016_d_0000001__rain_light,0000098_00016_d_0000001.jpg,rain_light,2
train,0000099_00149_d_0000001,0000099_00149_d_0000001.jpg,clean,1
train,0000099_00149_d_0000001__rain_medium,0000099_00149_d_0000001.jpg,rain_medium,1
train,0000099_00508_d_0000002,0000099_00508_d_0000002.jpg,clean,3
train,0000099_00508_d_0000002__bright_up,0000099_00508_d_0000002.jpg,bright_up,3
train,0000099_00997_d_0000003,0000099_00997_d_0000003.jpg,clean,3
train,0000099_00997_d_0000003__rain_medium,0000099_00997_d_0000003.jpg,rain_medium,3
train,0000099_02362_d_0000005,0000099_02362_d_0000005.jpg,clean,9
train,0000099_02362_d_0000005__rain_light,0000099_02362_d_0000005.jpg,rain_light,9
train,0000099_02798_d_0000006,0000099_02798_d_0000006.jpg,clean,8
train,0000099_02798_d_0000006__rain_light,0000099_02798_d_0000006.jpg,rain_light,8
train,0000099_03156_d_0000007,0000099_03156_d_0000007.jpg,clean,3
train,0000099_03156_d_0000007__rain_medium,0000099_03156_d_0000007.jpg,rain_medium,3
train,0000099_03508_d_0000008,0000099_03508_d_0000008.jpg,clean,7
train,0000099_03508_d_0000008__rain_medium,0000099_03508_d_0000008.jpg,rain_medium,7
train,0000099_03930_d_0000009,0000099_03930_d_0000009.jpg,clean,10
train,0000099_03930_d_0000009__bright_down,0000099_03930_d_0000009.jpg,bright_down,10
train,0000099_04272_d_0000010,0000099_04272_d_0000010.jpg,clean,9
train,0000099_04272_d_0000010__rain_medium,0000099_04272_d_0000010.jpg,rain_medium,9
train,0000099_04587_d_0000011,0000099_04587_d_0000011.jpg,clean,10
train,0000099_04587_d_0000011__rain_medium,0000099_04587_d_0000011.jpg,rain_medium,10
train,0000100_02616_d_0000012,0000100_02616_d_0000012.jpg,clean,10
train,0000100_02616_d_0000012__rain_medium,0000100_02616_d_0000012.jpg,rain_medium,10
train,0000100_03057_d_0000013,0000100_03057_d_0000013.jpg,clean,9
train,0000100_03057_d_0000013__rain_light,0000100_03057_d_0000013.jpg,rain_light,9
train,0000100_03906_d_0000014,0000100_03906_d_0000014.jpg,clean,7
train,0000100_03906_d_0000014__rain_heavy,0000100_03906_d_0000014.jpg,rain_heavy,7
train,0000100_04584_d_0000015,0000100_04584_d_0000015.jpg,clean,10
train,0000100_04584_d_0000015__rain_light,0000100_04584_d_0000015.jpg,rain_light,10
train,0000101_00228_d_0000016,0000101_00228_d_0000016.jpg,clean,16
train,0000101_00228_d_0000016__bright_down,0000101_00228_d_0000016.jpg,bright_down,16
train,0000101_01189_d_0000017,0000101_01189_d_0000017.jpg,clean,9
train,0000101_01189_d_0000017__rain_light,0000101_01189_d_0000017.jpg,rain_light,9
train,0000101_01577_d_0000018,0000101_01577_d_0000018.jpg,clean,11
train,0000101_01577_d_0000018__bright_down,0000101_01577_d_0000018.jpg,bright_down,11
train,0000101_02927_d_0000019,0000101_02927_d_0000019.jpg,clean,8
train,0000101_02927_d_0000019__blur_light,0000101_02927_d_0000019.jpg,blur_light,8
train,0000101_03804_d_0000020,0000101_03804_d_0000020.jpg,clean,32
train,0000101_03804_d_0000020__bright_up,0000101_03804_d_0000020.jpg,bright_up,32
train,0000101_04436_d_0000021,0000101_04436_d_0000021.jpg,clean,17
train,0000101_04436_d_0000021__rain_light,0000101_04436_d_0000021.jpg,rain_light,17
train,0000102_00192_d_0000022,0000102_00192_d_0000022.jpg,clean,3
train,0000102_00192_d_0000022__rain_light,0000102_00192_d_0000022.jpg,rain_light,3
train,0000102_00919_d_0000023,0000102_00919_d_0000023.jpg,clean,15
train,0000102_00919_d_0000023__rain_light,0000102_00919_d_0000023.jpg,rain_light,15
train,0000102_02749_d_0000024,0000102_02749_d_0000024.jpg,clean,6
train,0000102_02749_d_0000024__rain_light,0000102_02749_d_0000024.jpg,rain_light,6
train,0000102_03540_d_0000025,0000102_03540_d_0000025.jpg,clean,10
train,0000102_03540_d_0000025__rain_heavy,0000102_03540_d_0000025.jpg,rain_heavy,10
train,0000106_00294_d_0000048,0000106_00294_d_0000048.jpg,clean,75
train,0000106_00294_d_0000048__bright_up,0000106_00294_d_0000048.jpg,bright_up,75
train,0000106_00458_d_0000049,0000106_00458_d_0000049.jpg,clean,74
train,0000106_00458_d_0000049__rain_heavy,0000106_00458_d_0000049.jpg,rain_heavy,74
train,0000106_00673_d_0000050,0000106_00673_d_0000050.jpg,clean,51
train,0000106_00673_d_0000050__rain_medium,0000106_00673_d_0000050.jpg,rain_medium,51
train,0000107_00001_d_0000051,0000107_00001_d_0000051.jpg,clean,112
train,0000107_00001_d_0000051__rain_heavy,0000107_00001_d_0000051.jpg,rain_heavy,112
train,0000107_00891_d_0000052,0000107_00891_d_0000052.jpg,clean,65
train,0000107_00891_d_0000052__rain_heavy,0000107_00891_d_0000052.jpg,rain_heavy,65
train,0000107_01673_d_0000053,0000107_01673_d_0000053.jpg,clean,85
train,0000107_01673_d_0000053__rain_light,0000107_01673_d_0000053.jpg,rain_light,85
train,0000107_01998_d_0000054,0000107_01998_d_0000054.jpg,clean,117
train,0000107_01998_d_0000054__blur_light,0000107_01998_d_0000054.jpg,blur_light,117
train,0000107_02196_d_0000055,0000107_02196_d_0000055.jpg,clean,80
train,0000107_02196_d_0000055__bright_up,0000107_02196_d_0000055.jpg,bright_up,80
train,0000107_02574_d_0000056,0000107_02574_d_0000056.jpg,clean,114
train,0000107_02574_d_0000056__rain_light,0000107_02574_d_0000056.jpg,rain_light,114
train,0000109_00228_d_0000061,0000109_00228_d_0000061.jpg,clean,22
train,0000109_00228_d_0000061__rain_medium,0000109_00228_d_0000061.jpg,rain_medium,22
train,0000109_00606_d_0000062,0000109_00606_d_0000062.jpg,clean,12
train,0000109_00606_d_0000062__blur_light,0000109_00606_d_0000062.jpg,blur_light,12
train,0000109_01140_d_0000063,0000109_01140_d_0000063.jpg,clean,26
train,0000109_01140_d_0000063__bright_down,0000109_01140_d_0000063.jpg,bright_down,26
train,0000109_03179_d_0000064,0000109_03179_d_0000064.jpg,clean,15
